index,result
175723,0.004302
182582,0.041113
23938,0.009435
130434,0.006571
47054,0.04126
45805,0.018438
156157,0.027994
163023,0.018535
108365,0.013049
144503,0.031121
163075,0.021086
156326,0.017
171435,0.110888
108919,0.074573
52645,0.030397
79239,0.053343
184204,0.011189
131858,0.013136
35726,0.007471
170953,0.011638
164366,0.033129
121704,0.016172
2970,0.016426
30397,0.036577
95753,0.007072
37974,0.074458
22989,0.005466
29668,0.008701
33357,0.001823
200947,0.030293
43775,0.006236
24271,0.002724
141052,0.002772
163452,0.046258
94850,0.010294
84872,0.011634
175155,0.006441
55933,0.01364
99680,0.013351
85980,0.012133
151681,0.015818
49253,0.003058
100961,0.0201
109833,0.026035
115042,0.013609
139592,0.021773
40711,0.012665
39797,0.015385
163439,0.012495
45612,0.016063
75488,0.002914
136830,0.036135
40268,0.018131
92055,0.021727
133372,0.013745
101341,0.015569
51711,0.042196
89298,0.017679
31823,0.035767
187627,0.006811
175189,0.147478
44414,0.015246
24942,0.00135
61678,0.012795
196205,0.092701
164639,0.039187
162510,0.012397
153095,0.009261
45892,0.003427
73549,0.035063
111742,0.033453
194898,0.021451
147395,0.032584
106129,0.005872
157000,0.006741
91960,0.026302
78503,0.003816
156873,0.00488
12797,0.01224
148472,0.002056
142432,0.011593
194019,0.004804
190884,0.016931
51688,0.005111
97258,0.030533
1412,0.009279
132391,0.09672
9613,0.027984
173784,0.005934
35963,0.00877
138563,0.0448
201963,0.056063
108820,0.068995
100238,0.007081
50095,0.007439
59714,0.080779
72055,0.003194
147662,0.01042
145505,0.046863
79534,0.002466
65965,0.022759
42895,0.036868
110488,0.027009
92633,0.011673
14269,0.027855
183717,0.007505
97619,0.057493
63878,0.014312
10951,0.016007
38991,0.009379
180975,0.008701
45475,0.006329
16269,0.025776
99465,0.093294
91916,0.017975
75163,0.00978
132722,0.014132
48956,0.004318
47035,0.007186
200452,0.02859
178566,0.017125
151704,0.001628
38400,0.003914
141118,0.003586
97914,0.010245
166526,0.018325
81210,0.029236
163341,0.003809
145323,0.022165
149143,0.021431
712,0.038846
68203,0.006159
183284,0.023757
76759,0.024411
166641,0.082408
168186,0.018158
157436,0.023422
39977,0.006025
100067,0.010678
81686,0.021594
6237,0.032686
113496,0.024026
111096,0.00555
61687,0.00759
125855,0.0447
31039,0.036201
41355,0.011616
170439,0.0384
40168,0.028737
28536,0.020797
157846,0.040029
172006,0.008915
156668,0.015705
175976,0.053261
99195,0.00318
65717,0.016278
159235,0.004708
21201,0.019339
73211,0.013268
29772,0.030431
193851,0.012849
58841,0.013645
85314,0.014576
183985,0.012657
11205,0.130051
12373,0.004768
171632,0.020988
20532,0.007359
149550,0.05558
190459,0.021056
147055,0.013706
136598,0.031068
199635,0.033417
64537,0.013092
39690,0.009133
68909,0.006855
56965,0.016446
146528,0.019667
105412,0.005843
171966,0.033714
164714,0.012507
100528,0.112062
87845,0.060184
187977,0.115644
10130,0.005888
20368,0.019098
3937,0.039714
136693,0.00722
151929,0.030227
85298,0.009993
159347,0.011836
17902,0.014011
61286,0.017174
74372,0.025343
159422,0.001625
116173,0.012688
4914,0.009208
36185,0.04077
153556,0.008262
111619,0.025735
195783,0.015993
64264,0.007028
156588,0.013949
156056,0.068113
151455,0.024525
47446,0.019482
144934,0.008074
44987,0.01183
119044,0.006544
31949,0.012309
86739,0.042286
28519,0.038527
162239,0.01323
129576,0.011421
49568,0.002032
165358,0.11064
189682,0.023261
99270,0.005633
136968,0.028977
205615,0.046285
56355,0.010917
176378,0.017559
203123,0.005706
175215,0.024736
187174,0.005908
137853,0.019758
69181,0.019482
183901,0.034473
187808,0.144417
147281,0.020376
177938,0.007022
208526,0.008539
108911,0.028143
181729,0.017211
20655,0.006691
189389,0.013011
129240,0.011237
156908,0.037068
85547,0.067767
104517,0.014689
82068,0.018154
90873,0.039362
12570,0.005967
71507,0.017034
84339,0.037098
103365,0.000434
79151,0.012524
47557,0.014746
61975,0.010677
182623,0.013922
83096,0.002705
51154,0.13027
141512,0.027448
208033,0.004787
86009,0.070329
120951,0.005208
35832,0.011769
136992,0.020291
176057,0.007423
206735,0.035335
197278,0.010422
114228,0.005972
200481,0.029487
109951,0.08512
91578,0.00223
34884,0.019873
197854,0.037028
17080,0.013022
2367,0.017348
180718,0.043228
194657,0.045671
153652,0.003242
4003,0.006673
28165,0.009568
7155,0.008077
90004,0.019668
157989,0.005991
163140,0.007289
175257,0.002701
186810,0.004525
178764,0.009737
94691,0.013238
169728,0.015246
75491,0.007251
14256,0.011396
181972,0.003249
132290,0.008213
83281,0.017709
3985,0.011895
139922,0.00747
15778,0.008255
162860,0.024324
116512,0.003848
94911,0.027855
144100,0.025307
80316,0.007462
193240,0.013869
129043,0.028047
98883,0.025721
151090,0.002752
75356,0.006151
35228,0.003979
102682,0.056948
46687,0.143477
127217,0.036803
193040,0.008509
1959,0.035729
174817,0.015435
132801,0.005812
82617,0.010249
121349,0.009485
44977,0.011959
117148,0.005042
92903,0.010407
32139,0.008239
160188,0.017721
104065,0.069181
194877,0.017258
31243,0.084807
104093,0.017388
184240,0.014291
6452,0.00323
167067,0.038677
185457,0.024625
77058,0.03277
1071,0.003679
180972,0.011836
137745,0.032687
76876,0.005846
143891,0.046578
205289,0.006475
104238,0.006495
106812,0.006563
204804,0.007681
34101,0.013624
60321,0.027636
33226,0.031141
95367,0.018174
61111,0.021615
158347,0.032802
26952,0.019683
157872,0.01224
127321,0.167758
115732,0.019952
99284,0.00857
95031,0.008408
130515,0.056096
49671,0.007124
52518,0.012134
179907,0.010401
100935,0.006324
9982,0.013538
57443,0.030437
179940,0.021032
61769,0.033464
18886,0.064478
51554,0.0137
23752,0.009565
66114,0.009546
162744,0.080665
113125,0.014515
27737,0.036369
58444,0.015182
20265,0.017757
34822,0.01772
56566,0.013968
189101,0.00313
90227,0.007336
61181,0.008169
197536,0.012883
94715,0.022678
81250,0.064974
155691,0.025331
90638,0.013713
20732,0.012587
78274,0.028822
181123,0.001256
60369,0.014018
52217,0.017456
18367,0.014488
96037,0.014886
167447,0.02197
100560,0.016405
3998,0.019113
61557,0.019961
77108,0.006599
190054,0.009576
180150,0.015893
38944,0.01486
156466,0.020048
148344,0.002236
6349,0.059446
165072,0.023714
101164,0.008673
104570,0.004827
181588,0.008227
204217,0.022663
165809,0.036038
113479,0.0052
132074,0.015286
196412,0.013104
28711,0.152606
78222,0.019363
155440,0.032263
77273,0.033439
73203,0.117043
154061,0.016691
97972,0.016795
175620,0.006576
22611,0.003652
185550,0.012927
11118,0.022459
113647,0.010002
141924,0.057798
19900,0.011883
205829,0.021318
20384,0.014484
189383,0.009293
112768,0.039185
153759,0.00135
129548,0.010555
49912,0.007579
21754,0.019383
189533,0.040903
57092,0.060831
153946,0.011533
6129,0.011406
164368,0.011773
115626,0.063332
207893,0.003662
156757,0.009893
139236,0.021739
43722,0.013119
110819,0.021928
36747,0.022221
76978,0.017096
121003,0.008223
17062,0.02157
151778,0.033454
97396,0.021925
189201,0.005119
64112,0.019598
98679,0.029518
147299,0.108402
19123,0.028787
107991,0.018282
115621,0.012105
179545,0.033496
76042,0.01822
64473,0.014848
78705,0.021764
202507,0.01355
87737,0.004975
175115,0.01433
88492,0.008183
35680,0.00527
116752,0.017113
152083,0.034231
3716,0.052898
132518,0.083064
174606,0.013977
75944,0.032746
178981,0.039928
17759,0.024539
84887,0.014323
158584,0.013721
184256,0.01817
59486,0.012617
85265,0.009142
10767,0.004054
187274,0.004107
12166,0.016617
61419,0.030665
61619,0.058297
124434,0.036646
92247,0.018772
32433,0.013719
3219,0.04729
40439,0.092985
81735,0.012123
113316,0.031674
197197,0.038513
112255,0.007386
67358,0.02784
196807,0.015436
149672,0.010507
154437,0.02643
149569,0.029707
109223,0.006142
27408,0.094142
22142,0.046927
13092,0.008213
33021,0.015023
190237,0.014313
83972,0.009183
208988,0.042758
203200,0.019479
37856,0.016292
169156,0.011014
182458,0.00546
132771,0.01979
144971,0.003813
96146,0.07975
90933,0.016866
6883,0.019096
8424,0.012042
157097,0.002204
66330,0.092393
22340,0.008848
21659,0.008714
170772,0.005959
55787,0.01113
201622,0.004337
208941,0.017768
167846,0.026587
115555,0.008447
114980,0.035933
172369,0.004668
68270,0.029537
52807,0.046645
151715,0.008917
17033,0.031288
46784,0.013928
35056,0.0154
155651,0.010821
90578,0.041907
174441,0.122633
171489,0.189749
65749,0.027189
75240,0.135064
69694,0.013754
145666,0.008796
140978,0.001629
24696,0.007855
184466,0.018245
132444,0.026997
111247,0.005605
160405,0.002544
42045,0.021629
186226,0.002931
50365,0.035259
169859,0.03502
30366,0.007424
21253,0.016798
43262,0.010846
83322,0.020545
40558,0.036458
138645,0.034207
61771,0.011314
143106,0.016956
92056,0.020398
61919,0.004979
160318,0.00798
62146,0.017858
108809,0.003242
193086,0.016431
16878,0.011888
124687,0.022243
136256,0.024782
85891,0.010079
15076,0.002925
160661,0.022144
201046,0.004225
95912,0.0339
195321,0.031356
73694,0.011017
115324,0.028356
73318,0.029617
20628,0.01327
9193,0.037581
21449,0.003442
73265,0.00742
132085,0.007167
149222,0.023673
164580,0.014323
87364,0.004023
3692,0.003898
4630,0.032227
152703,0.013742
132427,0.042803
1388,0.002399
193857,0.016122
139757,0.017997
192956,0.01627
192385,0.007958
135002,0.005847
9141,0.041361
48093,0.007855
169068,0.018167
160349,0.023583
185244,0.007613
134054,0.004401
184708,0.016397
17238,0.002175
192840,0.010158
139744,0.012091
59332,0.055791
166397,0.01228
139794,0.07135
43146,0.003508
203122,0.006553
7423,0.00681
203501,0.01198
123045,0.019346
179116,0.043674
54682,0.020124
43483,0.025995
5557,0.015831
43597,0.003576
88755,0.049711
62272,0.001373
104339,0.005421
119198,0.024952
20228,0.011336
135998,0.010833
28715,0.025438
159087,0.017031
140920,0.022561
79980,0.035922
115631,0.023131
167012,0.030747
161420,0.009696
78818,0.006347
75072,0.015899
151513,0.008329
37088,0.003659
75809,0.021413
192378,0.018644
84721,0.092925
60630,0.064725
104881,0.009937
50925,0.010172
202160,0.015876
133109,0.004621
108577,0.004791
51353,0.01398
5816,0.018307
190277,0.019278
109522,0.024029
111580,0.004308
19302,0.008223
167355,0.010089
68075,0.013955
4525,0.012128
184192,0.013888
152757,0.004299
72473,0.018692
189476,0.027725
196162,0.005546
140544,0.011557
161028,0.022786
5608,0.037016
165196,0.01304
12938,0.0144
91254,0.014712
95762,0.017817
123564,0.014936
77525,0.030099
5518,0.006708
164821,0.033382
9822,0.049471
178706,0.016752
193841,0.077564
91435,0.004844
61945,0.025572
15531,0.033817
136697,0.013016
122469,0.018999
165296,0.126906
77657,0.029666
185291,0.024473
151474,0.011972
128000,0.009252
132522,0.020095
64319,0.0137
20757,0.007972
140986,0.004594
12652,0.008116
110696,0.009769
9884,0.013507
69725,0.018632
35955,0.128729
153573,0.015737
15573,0.00963
135927,0.003662
90762,0.008646
196240,0.005431
91383,0.016865
30131,0.007687
42365,0.036193
172543,0.018615
149496,0.009407
166519,0.007643
25071,0.015546
69410,0.005252
112209,0.011533
69805,0.004098
77099,0.003983
44145,0.032347
68658,0.01373
106956,0.01295
13280,0.028988
37157,0.005784
209005,0.007268
59609,0.006046
165556,0.012888
70665,0.029032
192825,0.017543
7082,0.01133
42720,0.004556
144742,0.018256
24451,0.007487
44144,0.012744
132616,0.00236
5340,0.008871
1700,0.051504
161403,0.020398
171989,0.020396
18710,0.004783
141121,0.015974
113788,0.023852
186258,0.019497
208577,0.006217
130007,0.009202
17227,0.065974
176605,0.030255
12823,0.006204
140375,0.013538
59794,0.006396
34041,0.030682
194307,0.044001
74735,0.019263
135417,0.015917
123970,0.082686
137914,0.019607
26921,0.019694
16139,0.004815
5534,0.007994
204882,0.059063
163724,0.017103
69270,0.03999
28029,0.027734
113502,0.095291
200608,0.009817
155482,0.028667
104459,0.006908
144292,0.175506
44834,0.006076
41495,0.015358
161676,0.016504
119507,0.016749
105181,0.02436
156373,0.0052
8972,0.058933
139470,0.013846
72856,0.011812
193322,0.010065
147048,0.006339
162584,0.021559
175395,0.01455
41407,0.032247
153202,0.010024
77015,0.007935
152556,0.012844
122656,0.007393
56129,0.048459
18842,0.042621
136007,0.023691
1381,0.010865
98195,0.017867
194885,0.009371
680,0.005124
203199,0.019479
34018,0.013553
64886,0.014998
3352,0.020929
62418,0.013947
56171,0.008449
90095,0.00909
188249,0.00393
205747,0.037385
169325,0.040891
206719,0.083784
165538,0.01043
64437,0.012431
108095,0.039709
82308,0.024414
155953,0.007649
49188,0.012055
105144,0.035363
206135,0.008169
35311,0.02629
142019,0.005051
85557,0.015031
134771,0.007939
174959,0.018134
71501,0.011986
123712,0.041412
103099,0.055346
108962,0.008791
74556,0.002486
56929,0.052444
181930,0.001715
149882,0.029326
74220,0.036382
74040,0.005194
176247,0.015435
115521,0.015369
62650,0.02203
123446,0.012457
56988,0.020635
7771,0.014735
124729,0.008881
111558,0.017769
25039,0.040034
61618,0.02434
164497,0.024625
31084,0.004403
154452,0.244803
199372,0.010288
168694,0.115851
205290,0.008666
138729,0.005342
39415,0.000951
187901,0.03078
161812,0.064857
201335,0.01336
197966,0.028838
164047,0.014853
111264,0.048495
101713,0.012358
154013,0.013663
40528,0.011447
57873,0.054193
103195,0.010378
149703,0.012892
88497,0.00965
7033,0.012892
24017,0.002579
153039,0.005907
72993,0.020497
169125,0.040219
148,0.010447
10524,0.01297
143319,0.018099
129052,0.011244
48906,0.004286
45924,0.005481
88280,0.022902
164298,0.004678
75182,0.032297
174480,0.015645
15106,0.028881
114141,0.002724
